# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
2.740e+02  1.247e+04  1.242e+04  8.839e+02  4.623e+01
2.750e+02  1.038e+04  1.217e+04  8.265e+02 -1.789e+03
2.760e+02  9.321e+03  1.191e+04  8.543e+02 -2.592e+03
2.770e+02  1.210e+04  1.165e+04  8.672e+02  4.502e+02
2.780e+02  1.111e+04  1.138e+04  8.695e+02 -2.701e+02
2.790e+02  1.382e+04  1.110e+04  8.641e+02  2.714e+03
2.800e+02  1.697e+04  1.082e+04  9.371e+02  6.143e+03
2.810e+02  1.460e+04  1.054e+04  9.387e+02  4.062e+03
2.820e+02  1.204e+04  1.025e+04  9.364e+02  1.788e+03
2.830e+02  1.234e+04  9.960e+03  9.848e+02  2.377e+03
2.840e+02  1.626e+04  9.668e+03  1.064e+03  6.597e+03
2.850e+02  1.511e+04  9.374e+03  9.958e+02  5.738e+03
2.860e+02  1.246e+04  9.080e+03  9.624e+02  3.383e+03
2.870e+02  1.330e+04  8.785e+03  1.014e+03  4.511e+03
2.880e+02  1.671e+04  8.492e+03  1.066e+03  8.222e+03
2.890e+02  1.547e+04  8.199e+03  9.369e+02  7.274e+03
2.900e+02  1.429e+04  7.908e+03  8.385e+02  6.381e+03
2.910e+02  9.938e+03  7.620e+03  7.734e+02  2.318e+03
2.920e+02  3.961e+03  7.334e+03  7.305e+02 -3.373e+03
2.930e+02  2.310e+03  7.052e+03  7.043e+02 -4.742e+03
2.940e+02  4.278e+03  6.773e+03  6.902e+02 -2.495e+03
2.950e+02  6.199e+03  6.498e+03  6.631e+02 -2.999e+02
